CNTY_NAME,MCD_NAME,CTV,ASM,SEN,CON,STR_WARDS,PERSONS18,WHITE18,BLACK18,HISPANIC18,ASIAN18,AMINDIAN18,PISLAND18,OTHER18,OTHERMLT18,PRETOT16
Milwaukee,Franklin,C,82,28,1,0005,814.0,772.0,8.0,20.0,10.0,4.0,0.0,0.0,0.0,595.0
Milwaukee,Franklin,C,82,28,1,0006,1004.0,885.0,23.0,19.0,73.0,3.0,0.0,0.0,1.0,940.0
Milwaukee,Franklin,C,82,28,1,0007,1636.0,1568.0,15.0,27.0,19.0,6.0,0.0,0.0,1.0,1322.0
Milwaukee,Franklin,C,82,28,1,0008,1445.0,1109.0,56.0,102.0,158.0,14.0,0.0,0.0,6.0,794.0
Milwaukee,Franklin,C,82,28,1,0009,1292.0,1011.0,24.0,79.0,158.0,12.0,0.0,1.0,7.0,853.0
Milwaukee,Franklin,C,82,28,1,0010,493.0,405.0,10.0,15.0,62.0,1.0,0.0,0.0,0.0,389.0
Milwaukee,Franklin,C,82,28,1,0011,1374.0,1216.0,11.0,53.0,80.0,4.0,0.0,0.0,10.0,1076.0
Milwaukee,Franklin,C,21,7,1,0012,995.0,891.0,13.0,29.0,52.0,7.0,0.0,0.0,3.0,732.0
Milwaukee,Franklin,C,82,28,1,0013,1246.0,1132.0,18.0,33.0,55.0,6.0,0.0,0.0,2.0,1027.0
Milwaukee,Franklin,C,82,28,1,0014,1141.0,1004.0,14.0,47.0,66.0,4.0,1.0,2.0,3.0,925.0
Milwaukee,Franklin,C,82,28,1,0016,1366.0,1200.0,25.0,36.0,99.0,2.0,0.0,3.0,1.0,1125.0
Milwaukee,Franklin,C,82,28,1,0017,845.0,721.0,5.0,24.0,93.0,0.0,0.0,0.0,2.0,666.0
Milwaukee,Franklin,C,82,28,1,0018,539.0,462.0,9.0,17.0,44.0,4.0,0.0,3.0,0.0,418.0
Milwaukee,Franklin,C,82,28,1,0019,1489.0,1367.0,18.0,46.0,50.0,5.0,2.0,0.0,1.0,1196.0
Milwaukee,Franklin,C,82,28,1,0020,1243.0,1107.0,22.0,52.0,53.0,6.0,0.0,1.0,2.0,622.0
Milwaukee,Franklin,C,82,28,1,0021,601.0,529.0,12.0,23.0,30.0,6.0,1.0,0.0,0.0,289.0
Milwaukee,Franklin,C,82,28,1,0023,1461.0,1340.0,11.0,62.0,39.0,6.0,0.0,3.0,0.0,1129.0
Milwaukee,Franklin,C,82,28,1,015A,631.0,550.0,9.0,27.0,36.0,6.0,2.0,1.0,0.0,542.0
Milwaukee,Franklin,C,21,7,1,015B,459.0,401.0,7.0,28.0,21.0,1.0,0.0,0.0,1.0,354.0
Milwaukee,Franklin,C,82,28,1,022A,824.0,789.0,4.0,18.0,3.0,8.0,2.0,0.0,0.0,646.0
Milwaukee,Franklin,C,83,28,1,022B,761.0,718.0,1.0,19.0,20.0,2.0,0.0,1.0,0.0,620.0
Milwaukee,Glendale,C,11,4,4,0001,786.0,629.0,97.0,34.0,22.0,2.0,0.0,0.0,2.0,616.0
Milwaukee,Glendale,C,11,4,4,0002,958.0,689.0,220.0,26.0,21.0,2.0,0.0,0.0,0.0,691.0
Milwaukee,Glendale,C,24,8,4,0003,776.0,690.0,43.0,13.0,24.0,4.0,1.0,1.0,0.0,612.0
Milwaukee,Glendale,C,24,8,4,0004,873.0,716.0,96.0,19.0,35.0,0.0,1.0,5.0,1.0,745.0
Milwaukee,Glendale,C,24,8,4,0005,903.0,766.0,80.0,28.0,25.0,2.0,0.0,1.0,1.0,775.0
Milwaukee,Glendale,C,11,4,4,0006,738.0,474.0,225.0,23.0,7.0,3.0,0.0,4.0,2.0,556.0
Milwaukee,Glendale,C,11,4,4,0007,839.0,698.0,57.0,27.0,50.0,2.0,2.0,1.0,2.0,627.0
Milwaukee,Glendale,C,24,8,4,0008,621.0,529.0,63.0,13.0,13.0,1.0,2.0,0.0,0.0,483.0
Milwaukee,Glendale,C,24,8,4,0009,1034.0,839.0,92.0,36.0,56.0,6.0,1.0,0.0,4.0,755.0
Milwaukee,Glendale,C,24,8,4,0010,899.0,776.0,75.0,16.0,25.0,3.0,0.0,4.0,0.0,742.0
